movie,year,imdb,metascore,votes
The Fountain,-2006,7.2,51,223696
Stranger Than Fiction,-2006,7.5,67,214148
Silent Hill,-2006,6.5,31,209697
Rocky Balboa,-2006,7.1,63,199383
Underworld: Evolution,-2006,6.7,36,186259
Saw III,-2006,6.2,48,174007
The Last King of Scotland,-2006,7.7,74,171677
Happy Feet,-2006,6.4,77,165470
Talladega Nights: The Ballad of Ricky Bobby,-2006,6.6,66,162661
Over the Hedge,-2006,6.7,67,155190
The Hills Have Eyes,-2006,6.4,52,154925
Letters from Iwo Jima,-2006,7.9,89,151151
She's the Man,-2006,6.3,45,142537
Idiocracy,-2006,6.6,66,139689
No Country for Old Men,-2007,8.1,91,819898
I Am Legend,-2007,7.2,65,669293
Ratatouille,-2007,8,96,618436
The Bourne Ultimatum,-2007,8,85,594634
Transformers,-2007,7,61,585993
Pirates of the Caribbean: At World's End,-2007,7.1,50,581073
Into the Wild,-2007,8.1,73,553638
Superbad,-2007,7.6,76,507220
There Will Be Blood,-2007,8.2,93,496386
Harry Potter and the Order of the Phoenix,-2007,7.5,71,487966
Spider-Man 3,-2007,6.2,59,485512
Juno,-2007,7.4,81,480924
Hot Fuzz,-2007,7.8,81,448919
Zodiac,-2007,7.7,78,434033
Live Free or Die Hard,-2007,7.1,69,382076
American Gangster,-2007,7.8,76,381122
Knocked Up,-2007,6.9,85,343045
Sweeney Todd: The Demon Barber of Fleet Street,-2007,7.3,83,335086
Ocean's Thirteen,-2007,6.9,62,312059
Shooter,(I) (2007),7.2,53,303215
The Simpsons Movie,-2007,7.3,80,303207
3:10 to Yuma,-2007,7.7,76,281248
The Mist,-2007,7.1,58,273660
Shrek the Third,-2007,6.1,58,271930
28 Weeks Later,-2007,7,78,253121
1408,-2007,6.8,64,250461
Stardust,-2007,7.6,66,247876
4: Rise of the Silver Surfer,-2007,5.6,45,246347
Gone Baby Gone,-2007,7.6,72,243628
Atonement,-2007,7.8,85,240813
Sunshine,-2007,7.2,64,228311
The Bucket List,-2007,7.4,42,224886
Eastern Promises,-2007,7.6,82,222259
Ghost Rider,-2007,5.2,35,218444
Paranormal Activity,-2007,6.3,68,215621
Disturbia,-2007,6.8,62,215344
National Treasure: Book of Secrets,-2007,6.5,48,213719
P.S. I Love You,-2007,7,39,197088
Fracture,-2007,7.2,68,180994
Resident Evil: Extinction,-2007,6.3,41,179814
The Golden Compass,-2007,6.1,51,175665
Grindhouse,-2007,7.5,77,175437
The Darjeeling Limited,-2007,7.2,67,175072
Enchanted,-2007,7,75,172556
No Country for Old Men,-2007,8.1,91,819898
I Am Legend,-2007,7.2,65,669293
Ratatouille,-2007,8,96,618436
The Bourne Ultimatum,-2007,8,85,594634
Transformers,-2007,7,61,585993
Pirates of the Caribbean: At World's End,-2007,7.1,50,581073
Into the Wild,-2007,8.1,73,553638
Superbad,-2007,7.6,76,507220
There Will Be Blood,-2007,8.2,93,496386
Harry Potter and the Order of the Phoenix,-2007,7.5,71,487966
Spider-Man 3,-2007,6.2,59,485512
Juno,-2007,7.4,81,480924
Hot Fuzz,-2007,7.8,81,448919
Zodiac,-2007,7.7,78,434033
Live Free or Die Hard,-2007,7.1,69,382076
American Gangster,-2007,7.8,76,381122
Knocked Up,-2007,6.9,85,343045
Sweeney Todd: The Demon Barber of Fleet Street,-2007,7.3,83,335086
Ocean's Thirteen,-2007,6.9,62,312059
Shooter,(I) (2007),7.2,53,303215
The Simpsons Movie,-2007,7.3,80,303207
3:10 to Yuma,-2007,7.7,76,281248
The Mist,-2007,7.1,58,273660
Shrek the Third,-2007,6.1,58,271930
28 Weeks Later,-2007,7,78,253121
1408,-2007,6.8,64,250461
Stardust,-2007,7.6,66,247876
4: Rise of the Silver Surfer,-2007,5.6,45,246347
Gone Baby Gone,-2007,7.6,72,243628
Atonement,-2007,7.8,85,240813
Sunshine,-2007,7.2,64,228311
The Bucket List,-2007,7.4,42,224886
Eastern Promises,-2007,7.6,82,222259
Ghost Rider,-2007,5.2,35,218444
Paranormal Activity,-2007,6.3,68,215621
Disturbia,-2007,6.8,62,215344
National Treasure: Book of Secrets,-2007,6.5,48,213719
P.S. I Love You,-2007,7,39,197088
Fracture,-2007,7.2,68,180994
Resident Evil: Extinction,-2007,6.3,41,179814
The Golden Compass,-2007,6.1,51,175665
Grindhouse,-2007,7.5,77,175437
The Darjeeling Limited,-2007,7.2,67,175072
Enchanted,-2007,7,75,172556
No Country for Old Men,-2007,8.1,91,819898
I Am Legend,-2007,7.2,65,669293
Ratatouille,-2007,8,96,618436
The Bourne Ultimatum,-2007,8,85,594634
Transformers,-2007,7,61,585993
Pirates of the Caribbean: At World's End,-2007,7.1,50,581073
Into the Wild,-2007,8.1,73,553638
Superbad,-2007,7.6,76,507220
There Will Be Blood,-2007,8.2,93,496386
Harry Potter and the Order of the Phoenix,-2007,7.5,71,487966
Spider-Man 3,-2007,6.2,59,485512
Juno,-2007,7.4,81,480924
Hot Fuzz,-2007,7.8,81,448919
Zodiac,-2007,7.7,78,434033
Live Free or Die Hard,-2007,7.1,69,382076
American Gangster,-2007,7.8,76,381122
Knocked Up,-2007,6.9,85,343045
Sweeney Todd: The Demon Barber of Fleet Street,-2007,7.3,83,335086
Ocean's Thirteen,-2007,6.9,62,312059
Shooter,(I) (2007),7.2,53,303215
The Simpsons Movie,-2007,7.3,80,303207
3:10 to Yuma,-2007,7.7,76,281248
The Mist,-2007,7.1,58,273660
Shrek the Third,-2007,6.1,58,271930
28 Weeks Later,-2007,7,78,253121
1408,-2007,6.8,64,250461
Stardust,-2007,7.6,66,247876
4: Rise of the Silver Surfer,-2007,5.6,45,246347
Gone Baby Gone,-2007,7.6,72,243628
Atonement,-2007,7.8,85,240813
Sunshine,-2007,7.2,64,228311
The Bucket List,-2007,7.4,42,224886
Eastern Promises,-2007,7.6,82,222259
Ghost Rider,-2007,5.2,35,218444
Paranormal Activity,-2007,6.3,68,215621
Disturbia,-2007,6.8,62,215344
National Treasure: Book of Secrets,-2007,6.5,48,213719
P.S. I Love You,-2007,7,39,197088
Fracture,-2007,7.2,68,180994
Resident Evil: Extinction,-2007,6.3,41,179814
The Golden Compass,-2007,6.1,51,175665
Grindhouse,-2007,7.5,77,175437
The Darjeeling Limited,-2007,7.2,67,175072
Enchanted,-2007,7,75,172556
No Country for Old Men,-2007,8.1,91,819898
I Am Legend,-2007,7.2,65,669293
Ratatouille,-2007,8,96,618436
The Bourne Ultimatum,-2007,8,85,594634
Transformers,-2007,7,61,585993
Pirates of the Caribbean: At World's End,-2007,7.1,50,581073
Into the Wild,-2007,8.1,73,553638
Superbad,-2007,7.6,76,507220
There Will Be Blood,-2007,8.2,93,496386
Harry Potter and the Order of the Phoenix,-2007,7.5,71,487966
Spider-Man 3,-2007,6.2,59,485512
Juno,-2007,7.4,81,480924
Hot Fuzz,-2007,7.8,81,448919
Zodiac,-2007,7.7,78,434033
Live Free or Die Hard,-2007,7.1,69,382076
American Gangster,-2007,7.8,76,381122
Knocked Up,-2007,6.9,85,343045
Sweeney Todd: The Demon Barber of Fleet Street,-2007,7.3,83,335086
Ocean's Thirteen,-2007,6.9,62,312059
Shooter,(I) (2007),7.2,53,303215
The Simpsons Movie,-2007,7.3,80,303207
3:10 to Yuma,-2007,7.7,76,281248
The Mist,-2007,7.1,58,273660
Shrek the Third,-2007,6.1,58,271930
28 Weeks Later,-2007,7,78,253121
1408,-2007,6.8,64,250461
Stardust,-2007,7.6,66,247876
4: Rise of the Silver Surfer,-2007,5.6,45,246347
Gone Baby Gone,-2007,7.6,72,243628
Atonement,-2007,7.8,85,240813
Sunshine,-2007,7.2,64,228311
The Bucket List,-2007,7.4,42,224886
Eastern Promises,-2007,7.6,82,222259
Ghost Rider,-2007,5.2,35,218444
Paranormal Activity,-2007,6.3,68,215621
Disturbia,-2007,6.8,62,215344
National Treasure: Book of Secrets,-2007,6.5,48,213719
P.S. I Love You,-2007,7,39,197088
Fracture,-2007,7.2,68,180994
Resident Evil: Extinction,-2007,6.3,41,179814
The Golden Compass,-2007,6.1,51,175665
Grindhouse,-2007,7.5,77,175437
The Darjeeling Limited,-2007,7.2,67,175072
Enchanted,-2007,7,75,172556
The Dark Knight,-2008,9,84,2218401
WALL·E,-2008,8.4,95,965116
Iron Man,-2008,7.9,79,913605
Slumdog Millionaire,-2008,8,84,781145
Gran Torino,-2008,8.1,72,701539
The Curious Case of Benjamin Button,-2008,7.8,70,570464
Taken,(I) (2008),7.8,51,554980
Hancock,-2008,6.4,49,433796
The Incredible Hulk,-2008,6.7,61,423017
Indiana Jones and the Kingdom of the Crystal Skull,-2008,6.1,65,413588
Twilight,(I) (2008),5.2,56,412388
The Hurt Locker,-2008,7.6,95,410957
Kung Fu Panda,-2008,7.5,74,405572
Quantum of Solace,-2008,6.6,58,394876
In Bruges,-2008,7.9,67,380434
Tropic Thunder,-2008,7,71,369065
Cloverfield,-2008,7,64,365232
Wanted,-2008,6.7,64,352965
Yes Man,-2008,6.8,46,326897
Pineapple Express,-2008,6.9,64,308111
Burn After Reading,-2008,7,63,300604
The Wrestler,-2008,7.9,80,284801
Jumper,-2008,6.1,35,281373
Seven Pounds,-2008,7.6,36,280494
Step Brothers,-2008,6.9,51,260662
Forgetting Sarah Marshall,-2008,7.1,67,256572
Hellboy II: The Golden Army,-2008,7,78,251114
Vicky Cristina Barcelona,-2008,7.1,70,237277
Changeling,-2008,7.7,63,231252
RocknRolla,-2008,7.3,53,229256
The Reader,-2008,7.6,58,225825
21,-2008,6.8,48,224002
Valkyrie,-2008,7.1,56,223119
Role Models,-2008,6.8,61,216675
Rambo,-2008,7,46,213673
Body of Lies,-2008,7.1,57,208557
Mamma Mia!,-2008,6.4,51,207627
Yip Man,-2008,8,59,206053
Låt den rätte komma in,-2008,7.9,82,201387
Get Smart,-2008,6.5,54,198951
Madagascar: Escape 2 Africa,-2008,6.6,61,197877
Death Race,-2008,6.4,43,194408
The Happening,-2008,5,34,192139
Revolutionary Road,-2008,7.3,69,189347
The Chronicles of Narnia: Prince Caspian,-2008,6.5,62,188769
You Don't Mess with the Zohan,-2008,5.5,54,186060
The Dark Knight,-2008,9,84,2218401
WALL·E,-2008,8.4,95,965116
Iron Man,-2008,7.9,79,913605
Slumdog Millionaire,-2008,8,84,781145
Gran Torino,-2008,8.1,72,701539
The Curious Case of Benjamin Button,-2008,7.8,70,570464
Taken,(I) (2008),7.8,51,554980
Hancock,-2008,6.4,49,433796
The Incredible Hulk,-2008,6.7,61,423017
Indiana Jones and the Kingdom of the Crystal Skull,-2008,6.1,65,413588
Twilight,(I) (2008),5.2,56,412388
The Hurt Locker,-2008,7.6,95,410957
Kung Fu Panda,-2008,7.5,74,405572
Quantum of Solace,-2008,6.6,58,394876
In Bruges,-2008,7.9,67,380434
Tropic Thunder,-2008,7,71,369065
Cloverfield,-2008,7,64,365232
Wanted,-2008,6.7,64,352965
Yes Man,-2008,6.8,46,326897
Pineapple Express,-2008,6.9,64,308111
Burn After Reading,-2008,7,63,300604
The Wrestler,-2008,7.9,80,284801
Jumper,-2008,6.1,35,281373
Seven Pounds,-2008,7.6,36,280494
Step Brothers,-2008,6.9,51,260662
Forgetting Sarah Marshall,-2008,7.1,67,256572
Hellboy II: The Golden Army,-2008,7,78,251114
Vicky Cristina Barcelona,-2008,7.1,70,237277
Changeling,-2008,7.7,63,231252
RocknRolla,-2008,7.3,53,229256
The Reader,-2008,7.6,58,225825
21,-2008,6.8,48,224002
Valkyrie,-2008,7.1,56,223119
Role Models,-2008,6.8,61,216675
Rambo,-2008,7,46,213673
Body of Lies,-2008,7.1,57,208557
Mamma Mia!,-2008,6.4,51,207627
Yip Man,-2008,8,59,206053
Låt den rätte komma in,-2008,7.9,82,201387
Get Smart,-2008,6.5,54,198951
Madagascar: Escape 2 Africa,-2008,6.6,61,197877
Death Race,-2008,6.4,43,194408
The Happening,-2008,5,34,192139
Revolutionary Road,-2008,7.3,69,189347
The Chronicles of Narnia: Prince Caspian,-2008,6.5,62,188769
You Don't Mess with the Zohan,-2008,5.5,54,186060
The Dark Knight,-2008,9,84,2218401
WALL·E,-2008,8.4,95,965116
Iron Man,-2008,7.9,79,913605
Slumdog Millionaire,-2008,8,84,781145
Gran Torino,-2008,8.1,72,701539
The Curious Case of Benjamin Button,-2008,7.8,70,570464
Taken,(I) (2008),7.8,51,554980
Hancock,-2008,6.4,49,433796
The Incredible Hulk,-2008,6.7,61,423017
Indiana Jones and the Kingdom of the Crystal Skull,-2008,6.1,65,413588
Twilight,(I) (2008),5.2,56,412388
The Hurt Locker,-2008,7.6,95,410957
Kung Fu Panda,-2008,7.5,74,405572
Quantum of Solace,-2008,6.6,58,394876
In Bruges,-2008,7.9,67,380434
Tropic Thunder,-2008,7,71,369065
Cloverfield,-2008,7,64,365232
Wanted,-2008,6.7,64,352965
Yes Man,-2008,6.8,46,326897
Pineapple Express,-2008,6.9,64,308111
Burn After Reading,-2008,7,63,300604
The Wrestler,-2008,7.9,80,284801
Jumper,-2008,6.1,35,281373
Seven Pounds,-2008,7.6,36,280494
Step Brothers,-2008,6.9,51,260662
Forgetting Sarah Marshall,-2008,7.1,67,256572
Hellboy II: The Golden Army,-2008,7,78,251114
Vicky Cristina Barcelona,-2008,7.1,70,237277
Changeling,-2008,7.7,63,231252
RocknRolla,-2008,7.3,53,229256
The Reader,-2008,7.6,58,225825
21,-2008,6.8,48,224002
Valkyrie,-2008,7.1,56,223119
Role Models,-2008,6.8,61,216675
Rambo,-2008,7,46,213673
Body of Lies,-2008,7.1,57,208557
Mamma Mia!,-2008,6.4,51,207627
Yip Man,-2008,8,59,206053
Låt den rätte komma in,-2008,7.9,82,201387
Get Smart,-2008,6.5,54,198951
Madagascar: Escape 2 Africa,-2008,6.6,61,197877
Death Race,-2008,6.4,43,194408
The Happening,-2008,5,34,192139
Revolutionary Road,-2008,7.3,69,189347
The Chronicles of Narnia: Prince Caspian,-2008,6.5,62,188769
You Don't Mess with the Zohan,-2008,5.5,54,186060
The Dark Knight,-2008,9,84,2218401
WALL·E,-2008,8.4,95,965116
Iron Man,-2008,7.9,79,913605
Slumdog Millionaire,-2008,8,84,781145
Gran Torino,-2008,8.1,72,701539
The Curious Case of Benjamin Button,-2008,7.8,70,570464
Taken,(I) (2008),7.8,51,554980
Hancock,-2008,6.4,49,433796
The Incredible Hulk,-2008,6.7,61,423017
Indiana Jones and the Kingdom of the Crystal Skull,-2008,6.1,65,413588
Twilight,(I) (2008),5.2,56,412388
The Hurt Locker,-2008,7.6,95,410957
Kung Fu Panda,-2008,7.5,74,405572
Quantum of Solace,-2008,6.6,58,394876
In Bruges,-2008,7.9,67,380434
Tropic Thunder,-2008,7,71,369065
Cloverfield,-2008,7,64,365232
Wanted,-2008,6.7,64,352965
Yes Man,-2008,6.8,46,326897
Pineapple Express,-2008,6.9,64,308111
Burn After Reading,-2008,7,63,300604
The Wrestler,-2008,7.9,80,284801
Jumper,-2008,6.1,35,281373
Seven Pounds,-2008,7.6,36,280494
Step Brothers,-2008,6.9,51,260662
Forgetting Sarah Marshall,-2008,7.1,67,256572
Hellboy II: The Golden Army,-2008,7,78,251114
Vicky Cristina Barcelona,-2008,7.1,70,237277
Changeling,-2008,7.7,63,231252
RocknRolla,-2008,7.3,53,229256
The Reader,-2008,7.6,58,225825
21,-2008,6.8,48,224002
Valkyrie,-2008,7.1,56,223119
Role Models,-2008,6.8,61,216675
Rambo,-2008,7,46,213673
Body of Lies,-2008,7.1,57,208557
Mamma Mia!,-2008,6.4,51,207627
Yip Man,-2008,8,59,206053
Låt den rätte komma in,-2008,7.9,82,201387
Get Smart,-2008,6.5,54,198951
Madagascar: Escape 2 Africa,-2008,6.6,61,197877
Death Race,-2008,6.4,43,194408
The Happening,-2008,5,34,192139
Revolutionary Road,-2008,7.3,69,189347
The Chronicles of Narnia: Prince Caspian,-2008,6.5,62,188769
You Don't Mess with the Zohan,-2008,5.5,54,186060
Inglourious Basterds,-2009,8.3,69,1215001
Avatar,-2009,7.8,83,1094304
Up,-2009,8.2,88,902338
The Hangover,-2009,7.7,73,700745
District 9,-2009,7.9,81,626645
Sherlock Holmes,-2009,7.6,57,570320
Star Trek,-2009,7.9,82,569386
Zombieland,-2009,7.6,73,506052
Watchmen,-2009,7.6,56,486209
(500) Days of Summer,-2009,7.7,76,460678
X-Men Origins: Wolverine,-2009,6.6,40,456646
Harry Potter and the Half-Blood Prince,-2009,7.6,78,452107
Transformers: Revenge of the Fallen,-2009,6,35,377177
2012,(I) (2009),5.8,49,344664
Terminator Salvation,-2009,6.5,49,336946
Moon,-2009,7.9,67,326803
3 Idiots,-2009,8.4,67,326599
Up in the Air,(I) (2009),7.4,83,312168
The Proposal,(I) (2009),6.7,48,286788
The Blind Side,-2009,7.6,53,282795
Public Enemies,-2009,7,70,274987
Angels & Demons,-2009,6.7,48,265703
Law Abiding Citizen,-2009,7.4,34,264469
The Twilight Saga: New Moon,-2009,4.7,44,258404
Fast & Furious,-2009,6.6,46,255533
The Road,(I) (2009),7.2,64,218009
Ice Age: Dawn of the Dinosaurs,-2009,6.9,50,216772
Knowing,-2009,6.2,41,216312
Mr. Nobody,-2009,7.8,63,209648
Män som hatar kvinnor,-2009,7.8,76,204926
The Ugly Truth,-2009,6.4,28,199005
Cloudy with a Chance of Meatballs,-2009,6.9,66,197931
G.I. Joe: The Rise of Cobra,-2009,5.8,32,196039
"I Love You, Man",-2009,7,70,190681
Fantastic Mr. Fox,-2009,7.9,83,190238
Coraline,-2009,7.7,80,188584
Orphan,-2009,6.9,42,185617
El secreto de sus ojos,-2009,8.2,80,185412
Drag Me to Hell,-2009,6.5,83,183868
The Taking of Pelham 123,-2009,6.4,55,181652
17 Again,-2009,6.3,48,174669
Night at the Museum: Battle of the Smithsonian,-2009,6,42,171366
Surrogates,-2009,6.3,45,166803
He's Just Not That Into You,-2009,6.4,47,158104
Inglourious Basterds,-2009,8.3,69,1215001
Avatar,-2009,7.8,83,1094304
Up,-2009,8.2,88,902338
The Hangover,-2009,7.7,73,700745
District 9,-2009,7.9,81,626645
Sherlock Holmes,-2009,7.6,57,570320
Star Trek,-2009,7.9,82,569386
Zombieland,-2009,7.6,73,506052
Watchmen,-2009,7.6,56,486209
(500) Days of Summer,-2009,7.7,76,460678
X-Men Origins: Wolverine,-2009,6.6,40,456646
Harry Potter and the Half-Blood Prince,-2009,7.6,78,452107
Transformers: Revenge of the Fallen,-2009,6,35,377177
2012,(I) (2009),5.8,49,344664
Terminator Salvation,-2009,6.5,49,336946
Moon,-2009,7.9,67,326803
3 Idiots,-2009,8.4,67,326599
Up in the Air,(I) (2009),7.4,83,312168
The Proposal,(I) (2009),6.7,48,286788
The Blind Side,-2009,7.6,53,282795
Public Enemies,-2009,7,70,274987
Angels & Demons,-2009,6.7,48,265703
Law Abiding Citizen,-2009,7.4,34,264469
The Twilight Saga: New Moon,-2009,4.7,44,258404
Fast & Furious,-2009,6.6,46,255533
The Road,(I) (2009),7.2,64,218009
Ice Age: Dawn of the Dinosaurs,-2009,6.9,50,216772
Knowing,-2009,6.2,41,216312
Mr. Nobody,-2009,7.8,63,209648
Män som hatar kvinnor,-2009,7.8,76,204926
The Ugly Truth,-2009,6.4,28,199005
Cloudy with a Chance of Meatballs,-2009,6.9,66,197931
G.I. Joe: The Rise of Cobra,-2009,5.8,32,196039
"I Love You, Man",-2009,7,70,190681
Fantastic Mr. Fox,-2009,7.9,83,190238
Coraline,-2009,7.7,80,188584
Orphan,-2009,6.9,42,185617
El secreto de sus ojos,-2009,8.2,80,185412
Drag Me to Hell,-2009,6.5,83,183868
The Taking of Pelham 123,-2009,6.4,55,181652
17 Again,-2009,6.3,48,174669
Night at the Museum: Battle of the Smithsonian,-2009,6,42,171366
Surrogates,-2009,6.3,45,166803
He's Just Not That Into You,-2009,6.4,47,158104
Inglourious Basterds,-2009,8.3,69,1215001
Avatar,-2009,7.8,83,1094304
Up,-2009,8.2,88,902338
The Hangover,-2009,7.7,73,700745
District 9,-2009,7.9,81,626645
Sherlock Holmes,-2009,7.6,57,570320
Star Trek,-2009,7.9,82,569386
Zombieland,-2009,7.6,73,506052
Watchmen,-2009,7.6,56,486209
(500) Days of Summer,-2009,7.7,76,460678
X-Men Origins: Wolverine,-2009,6.6,40,456646
Harry Potter and the Half-Blood Prince,-2009,7.6,78,452107
Transformers: Revenge of the Fallen,-2009,6,35,377177
2012,(I) (2009),5.8,49,344664
Terminator Salvation,-2009,6.5,49,336946
Moon,-2009,7.9,67,326803
3 Idiots,-2009,8.4,67,326599
Up in the Air,(I) (2009),7.4,83,312168
The Proposal,(I) (2009),6.7,48,286788
The Blind Side,-2009,7.6,53,282795
Public Enemies,-2009,7,70,274987
Angels & Demons,-2009,6.7,48,265703
Law Abiding Citizen,-2009,7.4,34,264469
The Twilight Saga: New Moon,-2009,4.7,44,258404
Fast & Furious,-2009,6.6,46,255533
The Road,(I) (2009),7.2,64,218009
Ice Age: Dawn of the Dinosaurs,-2009,6.9,50,216772
Knowing,-2009,6.2,41,216312
Mr. Nobody,-2009,7.8,63,209648
Män som hatar kvinnor,-2009,7.8,76,204926
The Ugly Truth,-2009,6.4,28,199005
Cloudy with a Chance of Meatballs,-2009,6.9,66,197931
G.I. Joe: The Rise of Cobra,-2009,5.8,32,196039
"I Love You, Man",-2009,7,70,190681
Fantastic Mr. Fox,-2009,7.9,83,190238
Coraline,-2009,7.7,80,188584
Orphan,-2009,6.9,42,185617
El secreto de sus ojos,-2009,8.2,80,185412
Drag Me to Hell,-2009,6.5,83,183868
The Taking of Pelham 123,-2009,6.4,55,181652
17 Again,-2009,6.3,48,174669
Night at the Museum: Battle of the Smithsonian,-2009,6,42,171366
Surrogates,-2009,6.3,45,166803
He's Just Not That Into You,-2009,6.4,47,158104
Inglourious Basterds,-2009,8.3,69,1215001
Avatar,-2009,7.8,83,1094304
Up,-2009,8.2,88,902338
The Hangover,-2009,7.7,73,700745
District 9,-2009,7.9,81,626645
Sherlock Holmes,-2009,7.6,57,570320
Star Trek,-2009,7.9,82,569386
Zombieland,-2009,7.6,73,506052
Watchmen,-2009,7.6,56,486209
(500) Days of Summer,-2009,7.7,76,460678
X-Men Origins: Wolverine,-2009,6.6,40,456646
Harry Potter and the Half-Blood Prince,-2009,7.6,78,452107
Transformers: Revenge of the Fallen,-2009,6,35,377177
2012,(I) (2009),5.8,49,344664
Terminator Salvation,-2009,6.5,49,336946
Moon,-2009,7.9,67,326803
3 Idiots,-2009,8.4,67,326599
Up in the Air,(I) (2009),7.4,83,312168
The Proposal,(I) (2009),6.7,48,286788
The Blind Side,-2009,7.6,53,282795
Public Enemies,-2009,7,70,274987
Angels & Demons,-2009,6.7,48,265703
Law Abiding Citizen,-2009,7.4,34,264469
The Twilight Saga: New Moon,-2009,4.7,44,258404
Fast & Furious,-2009,6.6,46,255533
The Road,(I) (2009),7.2,64,218009
Ice Age: Dawn of the Dinosaurs,-2009,6.9,50,216772
Knowing,-2009,6.2,41,216312
Mr. Nobody,-2009,7.8,63,209648
Män som hatar kvinnor,-2009,7.8,76,204926
The Ugly Truth,-2009,6.4,28,199005
Cloudy with a Chance of Meatballs,-2009,6.9,66,197931
G.I. Joe: The Rise of Cobra,-2009,5.8,32,196039
"I Love You, Man",-2009,7,70,190681
Fantastic Mr. Fox,-2009,7.9,83,190238
Coraline,-2009,7.7,80,188584
Orphan,-2009,6.9,42,185617
El secreto de sus ojos,-2009,8.2,80,185412
Drag Me to Hell,-2009,6.5,83,183868
The Taking of Pelham 123,-2009,6.4,55,181652
17 Again,-2009,6.3,48,174669
Night at the Museum: Battle of the Smithsonian,-2009,6,42,171366
Surrogates,-2009,6.3,45,166803
He's Just Not That Into You,-2009,6.4,47,158104
Inception,-2010,8.8,74,1973620
Shutter Island,-2010,8.1,63,1082482
Toy Story 3,-2010,8.3,92,732912
Iron Man 2,-2010,7,57,700132
Black Swan,-2010,8,79,680874
How to Train Your Dragon,-2010,8.1,75,645478
The King's Speech,-2010,8,88,623392
The Social Network,-2010,7.7,95,602106
Kick-Ass,-2010,7.6,66,515029
Despicable Me,-2010,7.6,72,487499
Harry Potter and the Deathly Hallows: Part 1,-2010,7.7,65,457416
Tangled,-2010,7.7,71,392138
Alice in Wonderland,(I) (2010),6.4,53,374068
Scott Pilgrim vs. the World,-2010,7.5,69,362657
Easy A,-2010,7.1,72,347263
The Town,-2010,7.5,74,339902
127 Hours,-2010,7.6,82,339546
The Fighter,(I) (2010),7.8,79,331301
The Expendables,-2010,6.5,45,319179
Due Date,-2010,6.5,51,316354
Tron,-2010,6.8,49,307161
True Grit,-2010,7.6,80,301256
Salt,-2010,6.4,65,289183
The Book of Eli,-2010,6.9,53,285969
RED,-2010,7,60,281872
Insidious,(I) (2010),6.8,52,269113
Prince of Persia: The Sands of Time,-2010,6.6,50,266084
Clash of the Titans,-2010,5.8,39,265455
Robin Hood,-2010,6.6,53,248021
The A-Team,-2010,6.7,47,242049
The Other Guys,-2010,6.6,64,235545
Grown Ups,(I) (2010),5.9,30,221941
The Twilight Saga: Eclipse,-2010,5,58,221047
Megamind,-2010,7.2,63,220470
The Tourist,(I) (2010),6,37,217950
Predators,-2010,6.4,51,207427
Machete,-2010,6.6,60,187546
Unstoppable,-2010,6.8,69,180351
Blue Valentine,-2010,7.4,81,179127
Shrek Forever After,-2010,6.3,58,178549
The Next Three Days,-2010,7.4,52,177252
Knight and Day,-2010,6.3,46,175982
Love & Other Drugs,-2010,6.7,55,175516
Percy Jackson & the Olympians: The Lightning Thief,-2010,5.9,47,172527
Get Him to the Greek,-2010,6.4,65,166859
Tucker and Dale vs Evil,-2010,7.5,65,160941
Inception,-2010,8.8,74,1973620
Shutter Island,-2010,8.1,63,1082482
Toy Story 3,-2010,8.3,92,732912
Iron Man 2,-2010,7,57,700132
Black Swan,-2010,8,79,680874
How to Train Your Dragon,-2010,8.1,75,645478
The King's Speech,-2010,8,88,623392
The Social Network,-2010,7.7,95,602106
Kick-Ass,-2010,7.6,66,515029
Despicable Me,-2010,7.6,72,487499
Harry Potter and the Deathly Hallows: Part 1,-2010,7.7,65,457416
Tangled,-2010,7.7,71,392138
Alice in Wonderland,(I) (2010),6.4,53,374068
Scott Pilgrim vs. the World,-2010,7.5,69,362657
Easy A,-2010,7.1,72,347263
The Town,-2010,7.5,74,339902
127 Hours,-2010,7.6,82,339546
The Fighter,(I) (2010),7.8,79,331301
The Expendables,-2010,6.5,45,319179
Due Date,-2010,6.5,51,316354
Tron,-2010,6.8,49,307161
True Grit,-2010,7.6,80,301256
Salt,-2010,6.4,65,289183
The Book of Eli,-2010,6.9,53,285969
RED,-2010,7,60,281872
Insidious,(I) (2010),6.8,52,269113
Prince of Persia: The Sands of Time,-2010,6.6,50,266084
Clash of the Titans,-2010,5.8,39,265455
Robin Hood,-2010,6.6,53,248021
The A-Team,-2010,6.7,47,242049
The Other Guys,-2010,6.6,64,235545
Grown Ups,(I) (2010),5.9,30,221941
The Twilight Saga: Eclipse,-2010,5,58,221047
Megamind,-2010,7.2,63,220470
The Tourist,(I) (2010),6,37,217950
Predators,-2010,6.4,51,207427
Machete,-2010,6.6,60,187546
Unstoppable,-2010,6.8,69,180351
Blue Valentine,-2010,7.4,81,179127
Shrek Forever After,-2010,6.3,58,178549
The Next Three Days,-2010,7.4,52,177252
Knight and Day,-2010,6.3,46,175982
Love & Other Drugs,-2010,6.7,55,175516
Percy Jackson & the Olympians: The Lightning Thief,-2010,5.9,47,172527
Get Him to the Greek,-2010,6.4,65,166859
Tucker and Dale vs Evil,-2010,7.5,65,160941
Inception,-2010,8.8,74,1973620
Shutter Island,-2010,8.1,63,1082482
Toy Story 3,-2010,8.3,92,732912
Iron Man 2,-2010,7,57,700132
